"filename", "language", "JSON", "C#", "Ignore", "XML", "Docker", "CSS", "JavaScript", "Razor", "YAML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\OptionEditor.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\QuestionEditor.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 12, 63
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyEditor.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 28, 227
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 17, 151
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Test.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Routes.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\_Imports.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Program.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 9, 15, 90
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Properties\launchSettings.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthStateProvider.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthenticationService.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\HttpOnlyCookieService.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 11, 8, 50
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\iWenJuan.Client.WorkSpace.csproj", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\app.css", "CSS", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 35, 192
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\clipboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\cookieHelper.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\AuthController.cs", "C#", 0, 107, 0, 0, 0, 0, 0, 0, 0, 52, 27, 186
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\UserController.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 6, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Data\AuthDbContext.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Dockerfile", "Docker", 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 5, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IJwtTokenHelper.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 12, 3, 21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IMessageQueueService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IPasswordHasher.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 11, 3, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IRedisService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 21, 4, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IVerificationCodeService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 15, 3, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Models\User.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Program.cs", "C#", 0, 68, 0, 0, 0, 0, 0, 0, 0, 26, 12, 106
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Properties\launchSettings.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\JwtTokenHelper.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 0, 0, 34, 11, 118
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RabbitMQService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 20, 8, 60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RedisService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\VerificationCodeService.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Utils\PasswordHasherWithArgon2.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 27, 9, 83
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\iWenJuan.Service.Auth.csproj", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Controllers\CsvProcessingController.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 14, 57
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Dockerfile", "Docker", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Interface\ICsvProcessingService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Program.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 13, 46
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Properties\launchSettings.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Services\CsvProcessingService.cs", "C#", 0, 178, 0, 0, 0, 0, 0, 0, 0, 46, 26, 250
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Utils\StringOrNumericComparer.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\iWenJuan.Service.DataProcessing.csproj", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Controllers\FileStorageController.cs", "C#", 0, 103, 0, 0, 0, 0, 0, 0, 0, 54, 12, 169
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Data\StorageDbContext.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Dockerfile", "Docker", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Interface\IExportService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 2, 15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Interface\IFileStorageService.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 22, 6, 38
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Models\StoredFile.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Program.cs", "C#", 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 15, 66
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Properties\launchSettings.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Services\ExportService.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Services\FileStorageService.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 30, 9, 84
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\appsettings.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\iWenJuan.Service.DataStorage.csproj", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Dockerfile", "Docker", 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 5, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Interface\IEmailService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 2, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Program.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 13, 41
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Properties\launchSettings.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Services\EmailService.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 36, 11, 82
