"filename", "language", "XML", "C#", "JSON", "Docker", "YAML", "Ignore", "CSS", "Razor", "JavaScript", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\NavMenu.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Login.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 11, 121
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Register.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 14, 98
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\VerifyRegister.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 13, 99
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataManager.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 10, 64
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataPreviewer.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 17, 74
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataProcesser.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataVisualizer.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 32, 245
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Error.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 8, 37
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Home.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
