"filename", "language", "C#", "JSON", "XML", "Razor", "JavaScript", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\ISurveyService.cs", "C#", -10, 0, 0, 0, 0, -28, -6, -44
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Answer.cs", "C#", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Logic.cs", "C#", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Option.cs", "C#", 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Question.cs", "C#", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Survey.cs", "C#", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Program.cs", "C#", 8, 0, 0, 0, 0, 1, 2, 11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\SurveyService.cs", "C#", -43, 0, 0, 0, 0, -32, -9, -84
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\appsettings.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\AnswerDto.cs", "C#", -6, 0, 0, 0, 0, 0, -2, -8
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\EmailVerificationMessage.cs", "C#", 11, 0, 0, 0, 0, 6, 4, 21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\LoginDto.cs", "C#", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\LoginResponseDto.cs", "C#", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\UserDto.cs", "C#", 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\VerifyChangePasswordDto.cs", "C#", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\VerifyRegisterDto.cs", "C#", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\LoginDto.cs", "C#", -15, 0, 0, 0, 0, 0, -3, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\LoginResponseDto.cs", "C#", -11, 0, 0, 0, 0, 0, -3, -14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\StoredFileInfoDto.cs", "C#", -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\SurveyData\StoredFileInfoDto.cs", "C#", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\AnswerDto.cs", "C#", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\LogicDto.cs", "C#", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\OptionDto.cs", "C#", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\QuestionDto.cs", "C#", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\SurveyDto.cs", "C#", 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\UserDto.cs", "C#", -10, 0, 0, 0, 0, 0, -6, -16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\VerifyChangePasswordDto.cs", "C#", -9, 0, 0, 0, 0, 0, -3, -12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\VerifyRegisterDto.cs", "C#", -14, 0, 0, 0, 0, 0, -3, -17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\ChartType.cs", "C#", 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\QuestionTypeEnum.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Extension\DisplayAnnotationExtension.cs", "C#", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Extension\ExpandoObjectExtension.cs", "C#", 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Extension\HttpClientExtension.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Answer.cs", "C#", -14, 0, 0, 0, 0, 0, -3, -17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Logic.cs", "C#", -16, 0, 0, 0, 0, 0, -3, -19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Option.cs", "C#", -12, 0, 0, 0, 0, 0, -3, -15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Question.cs", "C#", -17, 0, 0, 0, 0, 0, -5, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Survey.cs", "C#", -16, 0, 0, 0, 0, 0, -4, -20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\Program.cs", "C#", -10, 0, 0, 0, 0, 6, 0, -4
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\appsettings.Development.json", "JSON", 0, -8, 0, 0, 0, 0, -1, -9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\appsettings.json", "JSON", 0, -21, 0, 0, 0, 0, 0, -21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\iWenJuan.AppHost.csproj", "XML", 0, 0, 13, 0, 0, 0, 3, 16
"Total", "-", 373, 10, 14, 252, 22, -31, 96, 736
