"filename", "language", "JSON", "C#", "YAML", "XML", "Docker", "CSS", "Properties", "Razor", "Ignore", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\VerifyRegister.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 12, 67
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Error.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 8, 37
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Home.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Routes.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\_Imports.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Program.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 15, 66
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Properties\launchSettings.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthStateProvider.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthenticationService.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\HttpOnlyCookieService.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 11, 7, 46
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.deps.json", "JSON", 989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 989
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.runtimeconfig.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.staticwebassets.endpoints.json", "JSON", 6413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6413
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.staticwebassets.runtime.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\iWenJuan.Client.WorkSpace.csproj", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\iWenJuan.Client.WorkSpace.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\iWenJuan.Client.WorkSpace.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 12, 66
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\iWenJuan.Client.WorkSpace.GlobalUsings.g.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\jsmodules\jsmodules.build.manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\scopedcss\bundle\iWenJuan.Client.WorkSpace.styles.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 6413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6413
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 8109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8109
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.development.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.pack.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.build.iWenJuan.Client.WorkSpace.props", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.iWenJuan.Client.WorkSpace.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.iWenJuan.Client.WorkSpace.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.iWenJuan.Client.WorkSpace.Microsoft.AspNetCore.StaticWebAssetEndpoints.props", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.iWenJuan.Client.WorkSpace.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 40
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\iWenJuan.Client.WorkSpace.csproj.nuget.dgspec.json", "JSON", 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\iWenJuan.Client.WorkSpace.csproj.nuget.g.props", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\iWenJuan.Client.WorkSpace.csproj.nuget.g.targets", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\project.assets.json", "JSON", 2660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2660
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\app.css", "CSS", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 35, 192
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\AuthController.cs", "C#", 0, 103, 0, 0, 0, 0, 0, 0, 0, 53, 23, 179
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\UserController.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 6, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Data\AuthDbContext.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Dockerfile", "Docker", 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 5, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IJwtTokenHelper.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 12, 3, 21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IMessageQueueService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IPasswordHasher.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 11, 3, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IRedisService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 21, 4, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IVerificationCodeService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 15, 3, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Models\User.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Program.cs", "C#", 0, 59, 0, 0, 0, 0, 0, 0, 0, 23, 11, 93
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Properties\launchSettings.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\JwtTokenHelper.cs", "C#", 0, 62, 0, 0, 0, 0, 0, 0, 0, 32, 10, 104
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RabbitMQService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 20, 8, 60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RedisService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\VerificationCodeService.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Utils\PasswordHasherWithArgon2.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 27, 9, 83
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\iWenJuan.Service.Auth.deps.json", "JSON", 1469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1469
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\iWenJuan.Service.Auth.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\iWenJuan.Service.Auth.staticwebassets.endpoints.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\iWenJuan.Service.Auth.csproj", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
